doc_id,nrc_negative,nrc_positive,lsd2015_negative,lsd2015_positive,geninq_positive,geninq_negative
1,0,1,0,0,1,1
10,0,3,1,1,2,1
100,1,0,1,0,0,0
101,2,1,1,0,0,2
102,2,0,2,0,1,1
103,0,2,0,0,1,1
104,2,0,3,0,2,2
105,0,0,1,1,1,0
106,0,1,0,1,1,1
107,1,2,1,0,1,3
108,0,1,0,1,0,0
109,2,0,1,0,0,1
11,1,1,0,1,1,1
110,0,1,1,0,0,0
111,1,0,0,0,1,1
112,1,2,1,1,2,1
113,2,2,2,2,1,1
114,1,1,0,0,1,0
115,0,0,0,1,0,0
116,1,0,1,0,0,1
117,2,0,1,0,1,2
118,1,0,1,0,0,2
119,0,1,0,1,0,1
12,0,2,0,0,0,1
120,2,0,2,0,0,1
121,1,0,1,0,0,1
122,1,0,1,0,0,1
123,2,2,3,1,1,3
124,0,1,0,0,0,0
125,1,1,4,0,0,0
126,0,0,1,0,0,0
127,1,0,1,1,0,1
128,1,1,1,1,1,1
129,1,0,1,0,0,1
13,1,1,1,0,0,1
130,0,2,0,3,2,1
131,0,0,0,0,0,0
132,2,0,3,0,0,2
133,1,0,2,0,1,1
134,1,0,1,0,0,1
135,0,0,1,1,1,0
136,0,0,2,0,1,0
137,1,1,2,1,1,1
138,1,0,0,1,0,0
139,1,0,1,1,1,3
14,2,0,1,0,1,0
140,0,0,0,0,1,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,1,0,0,0
144,1,3,1,1,1,1
145,0,0,0,0,0,0
146,0,0,0,0,1,0
147,0,0,0,1,0,0
148,1,0,1,0,0,1
149,1,2,2,2,1,1
15,1,1,1,1,1,2
150,1,0,1,0,0,1
151,0,0,0,0,0,0
152,0,0,0,0,1,0
153,0,0,1,0,0,0
154,2,2,3,1,1,1
155,0,0,0,2,1,1
156,1,0,1,0,1,0
157,1,1,1,0,0,1
158,0,0,2,0,0,0
159,1,1,1,0,2,1
16,1,1,1,0,0,1
160,1,0,0,0,0,0
161,0,0,0,0,1,0
162,1,1,1,0,1,0
163,0,0,0,0,0,0
164,0,0,2,0,0,2
165,0,0,0,1,0,0
166,0,0,1,0,0,1
167,1,1,2,0,0,1
168,0,2,0,2,1,2
169,0,0,1,0,0,0
17,1,1,2,0,0,1
170,1,0,2,1,0,2
171,0,1,0,2,1,0
172,1,0,1,0,0,1
173,0,0,0,0,0,0
174,1,0,1,0,0,1
175,0,0,0,1,1,0
176,0,2,0,0,0,0
177,0,0,0,1,0,0
178,1,0,3,0,0,1
179,2,1,1,0,1,0
18,0,4,0,1,4,1
180,0,0,0,0,0,0
181,2,0,2,1,0,3
