nrc_doc_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust
1,0,0,0,0,0,0,0,0,0,0
10,0,2,0,0,1,0,2,0,1,2
100,0,0,0,0,0,1,0,1,0,0
101,0,2,0,0,1,2,1,0,0,2
102,1,0,0,4,0,3,0,3,1,0
103,1,1,0,1,0,0,1,0,0,0
104,1,0,0,2,0,2,0,0,0,0
105,1,0,0,1,0,1,0,0,0,0
106,0,0,0,0,0,0,1,0,0,1
107,1,1,0,1,1,1,2,1,1,2
108,0,0,0,1,0,1,1,0,1,0
109,0,0,0,1,0,1,0,0,0,0
11,0,1,0,0,1,1,2,0,0,3
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,1,0,1,0
112,0,0,0,1,0,1,1,0,0,1
113,0,0,0,1,0,2,0,0,0,0
114,1,0,0,1,0,1,0,1,0,0
115,0,0,0,0,0,0,2,0,0,0
116,0,1,0,1,0,1,0,0,0,0
117,0,0,0,0,0,1,1,0,0,2
118,1,0,0,0,0,1,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,2,0,0,2
120,0,0,0,1,0,2,0,1,0,0
121,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,1,0,0,0,0
123,2,0,1,2,0,2,0,1,1,0
124,0,0,0,0,0,0,0,0,0,1
125,0,0,0,1,1,0,2,0,0,2
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0
128,0,2,0,1,1,1,1,0,0,1
129,0,0,0,1,0,1,0,0,0,0
13,1,0,1,0,0,1,1,0,1,1
130,1,0,0,1,0,1,0,0,0,1
131,0,0,0,1,0,0,1,0,0,0
132,1,0,0,0,0,1,0,0,0,0
133,1,2,0,1,2,1,2,0,1,2
134,0,0,0,1,0,1,0,0,0,0
135,0,0,0,1,0,1,0,0,0,0
136,0,0,0,0,0,0,1,0,0,1
137,1,1,0,1,0,1,1,1,0,1
138,0,0,0,0,0,1,1,1,0,0
139,0,0,0,0,0,0,0,0,0,0
14,0,2,0,1,1,2,1,1,0,1
140,0,0,0,0,0,0,0,0,0,0
141,0,0,1,1,0,0,0,0,0,1
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,1,0,1,0,0
144,0,0,0,1,0,1,1,1,0,0
145,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,1,0
148,0,0,0,0,0,0,0,0,0,0
149,1,0,0,1,1,1,2,0,0,0
15,1,0,0,0,0,1,1,0,0,0
150,0,0,0,0,0,0,0,0,0,0
151,1,0,0,0,0,2,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,1,0,1,2,0,1,0,0,0,2
154,1,1,0,0,1,1,1,0,0,1
155,0,0,0,0,0,0,1,0,0,1
156,0,1,0,2,0,2,0,1,0,0
157,0,0,0,1,0,0,0,0,0,0
158,1,0,0,1,0,1,0,0,0,0
159,2,2,0,2,1,1,2,0,0,1
16,1,1,1,1,0,1,1,1,1,1
160,0,0,0,0,0,0,2,0,0,1
161,0,2,0,0,0,0,0,0,0,0
162,0,0,0,1,0,1,2,0,0,1
163,1,0,0,2,0,1,1,1,1,0
164,1,0,0,0,0,0,0,0,0,0
165,0,0,0,1,0,1,0,0,0,1
166,0,0,0,0,0,0,0,0,0,0
167,0,0,0,1,0,1,0,0,0,0
168,0,0,0,0,0,1,1,1,0,0
169,0,0,0,0,0,0,0,0,0,0
17,1,1,1,1,1,1,1,1,1,1
170,0,0,0,0,0,0,1,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0
173,1,0,0,2,0,2,0,1,0,0
174,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0
176,0,1,0,0,0,0,2,0,0,2
177,0,0,0,0,0,1,0,0,0,0
178,0,0,0,1,0,0,0,0,0,0
179,1,1,0,2,0,2,1,1,0,0
18,0,2,0,0,3,0,4,0,1,3
180,0,0,0,0,0,0,0,0,0,1
181,0,1,0,1,0,0,1,0,1,0
182,0,0,0,0,0,0,1,0,0,1
183,0,0,0,0,0,0,0,0,1,0
184,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0
186,0,2,0,0,2,0,2,0,1,2
187,0,1,0,1,1,0,2,0,1,0
188,1,0,0,2,0,2,0,0,0,0
189,0,1,0,0,0,0,0,0,0,0
19,0,0,0,1,0,1,1,0,0,1
190,0,0,0,2,0,2,0,0,0,1
191,0,0,0,1,0,1,0,0,0,0
192,1,0,0,1,0,1,0,0,0,0
193,0,3,0,1,3,0,3,0,2,2
194,1,0,0,1,0,1,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,1,0,1,0,0
198,1,0,0,1,0,2,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,1
20,2,0,1,2,0,2,1,1,0,2
