"","main_text","main_bing","main_nrc","main_afinn","print_text","print_bing","print_nrc","print_afinn"
"1","$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says",NA,-2,NA,"$174 Million Drone Program for Afghans Is Riddled With Problems, Pentagon Says",NA,-2,NA
"2","‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats",1,0,2,"Psychedelic Therapy In the Jungle Soothes The Pain for Veterans",-1,-4,-2
"3","‘Come On In, Boys’: A Wave of the Hand Sets Off Spain-Morocco Migrant Fight",NA,-3,-1,"Morocco Sends Spanish Outpost a Migrant Influx",NA,-1,NA
"4","‘Covid Can’t Compete.’ In a Place Mired in War, the Virus Is an Afterthought.",-1,-3,-2,"‘It’s a Lie’: Denial and Skepticism Permeate a Nation Embroiled in War",-4,-7,-4
"5","‘Everything Changed Overnight’: Afghan Reporters Face an Intolerant Regime",NA,-5,NA,"‘Everything Changed’: Media Face Crackdown",NA,NA,NA
"6","‘Finally, I Am Safe’: U.S. Air Base Becomes Temporary Refuge for Afghans",1,8,1,"‘Finally, I Am Safe’: Thousands Find Temporary Refuge at U.S. Air Base",1,8,1
"7","‘Find Him and Kill Him’: An Afghan Pilot’s Desperate Escape",-2,-4,-7,"‘Find Him and Kill Him’: A Pilot’s Desperate Escape From Kabul",-2,-4,-7
"8","‘Football Is Like Food’: Afghan Female Soccer Players Find a Home in Italy",NA,6,NA,"Soccer Players Under Threat Escape to Italy",-1,-3,-3
"9","‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans",1,1,NA,"Plan Would Inject $1 Trillion Into Economy  ",NA,2,NA
"10","‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",NA,-3,-2,"As Pandemic Takes Toll on Afghan Doctors, Hospitals Still Tend to War Wounded",-1,-5,-2
"11","‘I Could Just Vanish’: In Kabul, Pocket Notes to Prevent Anonymous Death",-1,-4,-3,"In Kabul, Slips of Paper to Avert Nameless Death",-1,-5,-3
"12","‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game",NA,1,-2,"Surrounded by Violence, Yet Captivated by a Virtual Battlefield",NA,-6,0
"13","‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan",-3,-6,-7,"Floods Compound Afghanistan’s Misery of Pandemic and Unrelenting War",-2,-10,-4
"14","‘I Wake Up and Scream’: Secret Taliban Prisons Terrorize Thousands",-2,-6,-5,"In Secret Taliban Prisons, Each Day Brings Terror",-1,-1,-3
"15","‘I’ll Never Forget You’: Veterans Push to Get Afghan Partners in War to the U.S.",NA,-3,-3,"Veterans Feel Urgency to Aid Afghan Allies",NA,2,NA
"16","‘If There Were No Hashish Here, You Wouldn’t See a Single House’",NA,-1,NA,"Crisis Erases Farmers’ Income From a Reliable Crop: Hashish",0,2,-3
"17","‘In the End We Felt Betrayed’: Vietnamese Veterans See Echoes in Afghanistan",NA,NA,-3,"Vietnamese Veterans See Echoes of 1975 in Afghanistan",NA,NA,NA
"18","‘Is Austin on Your List?’: Biden’s Pentagon Pick Rose Despite Barriers to Diversity",NA,1,NA,"How Biden’s Defense Nominee Overcame Barriers to Diversity",NA,0,NA
"19","‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai",0,2,4,"Israeli C.E.O.s and Emirati Investors Click in the Desert",-1,-5,NA
"20","‘Lost Between Borders’: Afghan Women on the Lives They Left Behind",-1,-2,-3,"Women on Loving, Fearing, and Leaving Afghanistan",1,1,0
"21","‘No One Quite Knows What to Say’: A War Easily Ignored Ends With Few Answers",NA,-2,-2,"‘No One Quite Knows What to Say’: 20-Year War Ends With Few Answers",NA,-2,-2
"22","‘No Victory Dance’: Veterans of Afghan War Feel Torn Over Pullout",1,4,-4,"Veterans of Afghan War Feel Torn Over Pullout",NA,-3,-4
"23","‘Our Goal Is to Keep the Regime on Its Toes’: Inside Belarus’s Underground Opposition",-1,-2,NA,"‘We Risk Everything’: Whisper Opposition Takes Hold in Belarus",-2,-3,-2
"24","‘Sticky Bombs’ Sow Terror and Chaos in a City on Edge",-3,-7,-5,"Taliban Use Lethal ‘Sticky Bombs’ Nearly Daily to Terrorize Afghans",-3,-8,-3
"25","‘Strategic Empathy’: How Biden’s Informal Diplomacy Shaped Foreign Relations",1,4,NA,"How Biden, by Turns Genial and Blunt, Built Diplomatic Bridges",1,4,3
"26","‘There Is No Safe Area’: In Kabul, Fear Has Taken Over",0,0,-1,"Fear of Sudden Death Governs Capital as Attacks Pick Off Afghans",-3,-4,-5
"27","‘They Just Left Us’: Greece Is Accused of Setting Migrants Adrift at Sea",NA,-4,-2,"Turkey Fumes While Accusing Greece of Setting Migrants Adrift at Sea",-2,-4,-2
