"","Frequency","Rank"
"u.s",166,1
"afghan",151,2
"afghanistan",135,3
"taliban",110,4
"biden",95,5
"war",64,6
"trump",63,7
"military",47,8
"kabul",42,9
"troops",41,10
"says",38,11
"new",35,12
"afghans",33,13
"pentagon",32,14
"peace",27,15
"biden's",23,16
"say",23,17
"trump's",23,18
"house",21,19
"killed",21,20
"withdrawal",20,21
"talks",20,22
"now",20,23
"world",18,24
"women",18,25
"pakistan",18,26
"officials",18,27
"deal",17,28
"end",16,29
"attack",16,30
"china",16,31
"migrants",15,32
"years",15,33
"russian",15,34
"guantánamo",15,35
"first",15,36
"bounties",15,37
"veterans",14,38
"coronavirus",14,39
"leader",14,40
"general",14,41
"forces",14,42
"democrats",14,43
"evacuation",13,44
"strike",13,45
"u.n",13,46
"top",13,47
"security",13,48
"g.o.p",13,49
"dies",13,50
"americans",12,51
"fear",12,52
"dead",12,53
"american",12,54
"defense",12,55
"faces",12,56
"intelligence",12,57
"iran",12,58
"home",11,59
"foreign",11,60
"takes",11,61
"leaders",11,62
"capitol",11,63
"russia",11,64
"help",11,65
"drone",10,66
"kill",10,67
"greece",10,68
"aid",10,69
"border",10,70
"least",10,71
"afghanistan's",10,72
"president",10,73
"attacks",10,74
"may",10,75
"government",10,76
"refugees",10,77
"crisis",10,78
"still",10,79
"c.i.a",10,80
"troop",10,81
"white",10,82
"violence",10,83
"fight",9,84
"push",9,85
"get",9,86
"one",9,87
"victory",9,88
"plan",9,89
"official",9,90
"election",9,91
"pandemic",9,92
"battle",9,93
"secretary",9,94
"political",9,95
"national",9,96
"america's",9,97
"policy",9,98
"fears",9,99
"putin",9,100
"long",9,101
"administration",9,102
"base",8,103
"death",8,104
"secret",8,105
"thousands",8,106
"see",8,107
"inside",8,108
"congress",8,109
"europe",8,110
"warns",8,111
"stay",8,112
"mission",8,113
"collapse",8,114
"final",8,115
"former",8,116
"airport",8,117
"qaeda",8,118
"two",8,119
"amid",8,120
"allies",8,121
"deadly",8,122
"back",8,123
"iraq",8,124
"seeks",8,125
"police",8,126
"chief",8,127
"bill",8,128
"find",7,129
"like",7,130
"lost",7,131
"left",7,132
"pullout",7,133
"chaos",7,134
"exit",7,135
"future",7,136
"kabul's",7,137
"isis",7,138
"prison",7,139
"flee",7,140
"line",7,141
"people",7,142
