"","print_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"1","$174 Million Drone Program for Afghans Is Riddled With Problems, Pentagon Says",NA,-2,NA,"negative",NA
"2","Psychedelic Therapy In the Jungle Soothes The Pain for Veterans",-1,-4,-2,"negative",TRUE
"3","Morocco Sends Spanish Outpost a Migrant Influx",NA,-1,NA,"negative",NA
"4","‘It’s a Lie’: Denial and Skepticism Permeate a Nation Embroiled in War",-4,-7,-4,"negative",TRUE
"5","‘Everything Changed’: Media Face Crackdown",NA,NA,NA,NA,NA
"6","‘Finally, I Am Safe’: Thousands Find Temporary Refuge at U.S. Air Base",1,8,1,"positive",TRUE
"7","‘Find Him and Kill Him’: A Pilot’s Desperate Escape From Kabul",-2,-4,-7,"negative",TRUE
"8","Soccer Players Under Threat Escape to Italy",-1,-3,-3,"negative",TRUE
"9","Plan Would Inject $1 Trillion Into Economy  ",NA,2,NA,"positive",NA
"10","As Pandemic Takes Toll on Afghan Doctors, Hospitals Still Tend to War Wounded",-1,-5,-2,"negative",TRUE
"11","In Kabul, Slips of Paper to Avert Nameless Death",-1,-5,-3,"negative",TRUE
"12","Surrounded by Violence, Yet Captivated by a Virtual Battlefield",NA,-6,0,"negative",FALSE
"13","Floods Compound Afghanistan’s Misery of Pandemic and Unrelenting War",-2,-10,-4,"negative",TRUE
"14","In Secret Taliban Prisons, Each Day Brings Terror",-1,-1,-3,"negative",TRUE
"15","Veterans Feel Urgency to Aid Afghan Allies",NA,2,NA,"positive",NA
"16","Crisis Erases Farmers’ Income From a Reliable Crop: Hashish",0,2,-3,"negative",FALSE
"17","Vietnamese Veterans See Echoes of 1975 in Afghanistan",NA,NA,NA,NA,NA
"18","How Biden’s Defense Nominee Overcame Barriers to Diversity",NA,0,NA,"neutral",NA
"19","Israeli C.E.O.s and Emirati Investors Click in the Desert",-1,-5,NA,"negative",TRUE
"20","Women on Loving, Fearing, and Leaving Afghanistan",1,1,0,"positive",FALSE
"21","‘No One Quite Knows What to Say’: 20-Year War Ends With Few Answers",NA,-2,-2,"negative",TRUE
"22","Veterans of Afghan War Feel Torn Over Pullout",NA,-3,-4,"negative",TRUE
"23","‘We Risk Everything’: Whisper Opposition Takes Hold in Belarus",-2,-3,-2,"negative",TRUE
"24","Taliban Use Lethal ‘Sticky Bombs’ Nearly Daily to Terrorize Afghans",-3,-8,-3,"negative",TRUE
"25","How Biden, by Turns Genial and Blunt, Built Diplomatic Bridges",1,4,3,"positive",TRUE
"26","Fear of Sudden Death Governs Capital as Attacks Pick Off Afghans",-3,-4,-5,"negative",TRUE
"27","Turkey Fumes While Accusing Greece of Setting Migrants Adrift at Sea",-2,-4,-2,"negative",TRUE
"28","Blinken Rejects Criticism Of Afghanistan Pullout",-2,-7,-3,"negative",TRUE
"29","As Panicked Afghans Seek Help, Lawmakers Say, ‘We Have to Try’",-1,1,-3,"negative",FALSE
"30","‘Our Hearts Are Crying’ For Family Left Behind",NA,-2,-2,"negative",TRUE
"31","‘She Was Alone’: One Official’s Harrowing Escape From Kabul",NA,-2,-1,"negative",TRUE
"32","After Escaping Kabul, Afghans Are Struck With Worry, Uncertainty and Despair",-3,-7,-8,"negative",TRUE
"33","‘Why Do We Deserve to Die?’ Burying Hazara Girls in Kabul",-1,-1,-3,"negative",TRUE
"34","Man Armed With Knife Kills 2 in French Town Under Lockdown",-2,-2,-3,"negative",TRUE
"35","Journalists Killed in Burkina Faso",-1,NA,-3,"negative",TRUE
"36","Members of Congress Ducked Into Kabul to See Evacuations",NA,0,NA,"neutral",NA
"37","A War Rages On In the Shadows",NA,-2,-2,"negative",TRUE
