article,print_bing,print_nrc,print_afinn,print_final,main_bing,main_nrc,main_afinn,main_final
1,NA,negative,NA,negative,NA,negative,NA,negative
2,negative,negative,negative,negative,positive,neutral,positive,negative
3,NA,negative,NA,negative,NA,negative,negative,negative
4,negative,negative,negative,negative,negative,negative,negative,negative
5,NA,NA,NA,negative,NA,negative,NA,negative
6,positive,positive,positive,negative,positive,positive,positive,negative
7,negative,negative,negative,negative,negative,negative,negative,negative
8,negative,negative,negative,negative,NA,positive,NA,negative
9,NA,positive,NA,negative,positive,positive,NA,negative
10,negative,negative,negative,negative,NA,negative,negative,negative
11,negative,negative,negative,negative,negative,negative,negative,negative
12,NA,negative,neutral,negative,NA,positive,negative,negative
13,negative,negative,negative,negative,negative,negative,negative,negative
14,negative,negative,negative,negative,negative,negative,negative,negative
15,NA,positive,NA,negative,NA,negative,negative,negative
16,neutral,positive,negative,negative,NA,negative,NA,negative
17,NA,NA,NA,negative,NA,NA,negative,negative
18,NA,neutral,NA,negative,NA,positive,NA,negative
19,negative,negative,NA,negative,neutral,positive,positive,negative
20,positive,positive,neutral,negative,negative,negative,negative,negative
21,NA,negative,negative,negative,NA,negative,negative,negative
22,NA,negative,negative,negative,positive,positive,negative,negative
23,negative,negative,negative,negative,negative,negative,NA,negative
24,negative,negative,negative,negative,negative,negative,negative,negative
25,positive,positive,positive,negative,positive,positive,NA,negative
26,negative,negative,negative,negative,neutral,neutral,negative,negative
27,negative,negative,negative,negative,NA,negative,negative,negative
28,negative,negative,negative,negative,NA,positive,NA,negative
29,negative,positive,negative,negative,NA,positive,NA,negative
30,NA,negative,negative,negative,negative,negative,negative,negative
31,NA,negative,negative,negative,negative,negative,negative,negative
32,negative,negative,negative,negative,negative,negative,negative,negative
33,negative,negative,negative,negative,negative,negative,negative,negative
34,negative,negative,negative,negative,negative,negative,negative,negative
35,negative,NA,negative,negative,negative,negative,negative,negative
36,NA,neutral,NA,negative,NA,positive,NA,negative
37,NA,negative,negative,negative,negative,negative,negative,negative
38,negative,negative,negative,negative,negative,negative,negative,negative
39,negative,negative,negative,negative,negative,negative,negative,negative
40,NA,NA,NA,negative,NA,positive,NA,negative
41,negative,NA,negative,negative,NA,positive,NA,negative
42,NA,NA,NA,negative,negative,negative,negative,negative
