date,sentiment,lexicon
7/17/2020,NA,bing
8/30/2020,1,bing
6/2/2021,NA,bing
12/20/2020,-1,bing
9/11/2021,NA,bing
9/1/2021,1,bing
6/3/2021,-2,bing
9/9/2021,NA,bing
3/17/2020,1,bing
5/1/2020,NA,bing
1/12/2021,-1,bing
11/23/2020,NA,bing
8/27/2020,-3,bing
2/27/2021,-2,bing
7/22/2021,NA,bing
10/19/2020,NA,bing
7/7/2021,NA,bing
12/9/2020,NA,bing
11/7/2020,0,bing
9/14/2021,-1,bing
8/22/2021,NA,bing
4/14/2021,1,bing
8/20/2021,-1,bing
12/16/2020,-3,bing
7/5/2020,1,bing
1/17/2021,0,bing
7/18/2021,NA,bing
9/13/2021,NA,bing
8/30/2021,NA,bing
8/17/2021,-1,bing
9/10/2021,-2,bing
8/29/2021,-1,bing
5/9/2021,-1,bing
4/4/2020,-3,bing
4/27/2021,-2,bing
8/25/2021,NA,bing
9/11/2021,-1,bing
8/3/2020,-3,bing
2/22/2021,-1,bing
2/29/2020,NA,bing
9/10/2021,NA,bing
8/21/2021,-2,bing
8/29/2021,NA,bing
8/19/2021,-2,bing
8/27/2021,NA,bing
3/4/2020,1,bing
5/11/2021,NA,bing
7/23/2021,NA,bing
9/21/2021,-2,bing
1/20/2021,1,bing
5/21/2020,-1,bing
5/13/2021,-1,bing
3/4/2021,-3,bing
12/19/2020,-1,bing
9/24/2021,-2,bing
8/28/2021,-1,bing
12/29/2020,-2,bing
5/15/2021,-2,bing
12/31/2020,-1,bing
7/22/2020,1,bing
9/20/2021,-1,bing
8/28/2021,-1,bing
9/13/2021,-2,bing
11/27/2020,NA,bing
9/24/2021,NA,bing
2/17/2021,NA,bing
6/30/2020,NA,bing
6/4/2020,-1,bing
10/22/2020,-2,bing
7/30/2020,NA,bing
6/4/2021,-3,bing
3/8/2020,NA,bing
5/31/2021,-1,bing
10/18/2020,-1,bing
8/26/2021,NA,bing
9/9/2020,0,bing
8/25/2021,NA,bing
8/25/2021,1,bing
2/24/2021,0,bing
3/19/2021,-2,bing
11/4/2020,NA,bing
10/23/2020,2,bing
4/17/2021,NA,bing
5/27/2021,NA,bing
8/15/2021,NA,bing
12/9/2020,NA,bing
5/13/2021,-1,bing
2/15/2021,-1,bing
12/2/2020,1,bing
5/1/2021,-1,bing
7/26/2021,NA,bing
2/23/2021,1,bing
7/1/2020,-1,bing
6/27/2020,NA,bing
8/30/2021,-2,bing
8/23/2021,-2,bing
2/25/2021,NA,bing
12/10/2020,-2,bing
11/29/2020,2,bing
1/10/2021,NA,bing
3/1/2020,1,bing
9/10/2020,1,bing
9/3/2020,0,bing
9/13/2021,NA,bing
5/16/2020,-1,bing
4/10/2021,-2,bing
3/10/2020,-1,bing
4/7/2020,-1,bing
8/23/2021,-2,bing
5/17/2020,-1,bing
5/24/2020,NA,bing
8/24/2020,-1,bing
9/23/2021,0,bing
9/9/2020,-1,bing
7/30/2021,NA,bing
4/18/2021,-2,bing
9/1/2021,-1,bing
