doc_id,type,month-ended,text
1,main,3/31/2020,4 Takeaways From the U.S. Deal With the Taliban
2,main,3/31/2020,"After 18 Years, Is This Afghan Peace, or Just a Way Out?"
3,main,3/31/2020,Life Inside an Afghan Women’s Prison
4,main,3/31/2020,Taliban and U.S. Strike Deal to Withdraw American Troops From Afghanistan
5,main,3/31/2020,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners
6,main,3/31/2020,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit
7,main,3/31/2020,Why Afghanistan Became an Invisible War
8,main,3/31/2020,"At Center of Taliban Deal, a U.S. Envoy Who Made It Personal"
9,main,3/31/2020,U.S. Announces Troop Withdrawal in Afghanistan as Respite From Violence Ends
10,main,3/31/2020,Trump Speaks With a Taliban Leader
11,main,3/31/2020,"A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey"
12,main,3/31/2020,Taliban Ramp Up Attacks on Afghans After Trump Says ‘No Violence’
13,main,3/31/2020,"From the Afghan Peace Deal, a Weak and Pliable Neighbor for Pakistan"
14,main,3/31/2020,"I.C.C. Allows Afghanistan War Crimes Inquiry to Proceed, Angering U.S."
15,main,3/31/2020,Javier Pérez de Cuéllar Dies at 100; U.N. Chief Brokered Peace Pacts
16,main,3/31/2020,Violence in India Threatens Its Global Ambitions
17,main,3/31/2020,Gunmen Kill Dozens at Event Attended by Afghan Politicians
18,main,3/31/2020,Erik Prince Recruits Ex-Spies to Help Infiltrate Liberal Groups
19,main,3/31/2020,Vigilantes in Greece Say ‘No More’ to Migrants
20,main,3/31/2020,Vigilantes in Greece Say ‘No More’ to Migrants
21,main,3/31/2020,A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan
22,main,3/31/2020,Judge Orders Medical Panel to Evaluate Tortured Guantánamo Prisoner
23,main,3/31/2020,"Ghani Takes the Oath of Afghan President. His Rival Does, Too."
24,main,3/31/2020,Afghan President Orders Taliban Prisoner Release
25,main,3/31/2020,"House Sends Trump Bill to Restrict War Powers on Iran, Setting Up Veto"
26,main,3/31/2020,How the World’s Largest Coronavirus Outbreaks Are Growing
27,main,3/31/2020,"E.U. to Offer 2,000 Euros to Migrants in Greece to Go Home"
28,main,3/31/2020,White House Pushes to Recover Americans Held Overseas
29,main,3/31/2020,Lawmakers Delay Promotion of Officer Involved in Deadly Niger Ambush
30,main,3/31/2020,"Pakistan Builds Border Fence, Limiting Militants and Families Alike"
31,main,3/31/2020,"‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans"
32,main,3/31/2020,Duncan Hunter Sentenced to 11 Months in Prison for Stealing Campaign Funds
33,main,3/31/2020,Americans Held Overseas in Iran and Lebanon Are Freed
34,main,3/31/2020,"As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad"
35,main,3/31/2020,From Victims to Superwomen: Honoring Female Strength in Afghanistan
36,main,3/31/2020,"Taliban Kill 24 Afghan Troops, With Inside Help"
37,main,3/31/2020,"As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission"
38,main,3/31/2020,Pompeo Cuts $1 Billion in Afghan Aid as 2 Leaders Reject Push for Unity
39,main,3/31/2020,"For Afghanistan Already on Brink, U.S. Aid Cut Is a Big Shove"
40,main,3/31/2020,"Ex-F.B.I. Agent Who Vanished on C.I.A. Mission to Iran Is Most Likely Dead, U.S. Concludes"
41,main,3/31/2020,"Fresh From Iran’s Coronavirus Zone, Now Moving Across Afghanistan"
42,main,3/31/2020,Trump’s ‘Disaster Diplomacy’ Has So Far Had Few Results
43,main,3/31/2020,Taliban Attack Afghanistan Amid Growing Coronavirus Threat
44,main,3/31/2020,Crisis in the Sahel Becoming France’s Forever War
45,main,3/31/2020,Crisis in the Sahel Becoming France’s Forever War
46,main,3/31/2020,Congressman Max Rose Deploys With National Guard for Coronavirus Relief
47,main,3/31/2020,"Waiving Rent and Making Masks, Afghans Meet Coronavirus With Kindness"
48,main,4/30/2020,Trump Confronts a New Reality Before an Expected Wave of Disease and Death
49,main,4/30/2020,"From Afar, Congress Moves to Oversee Trump Coronavirus Response"
50,main,4/30/2020,Pakistani Court Overturns Conviction in 2002 Killing of Daniel Pearl
51,main,4/30/2020,2 Killed in Knife Attack in French Town Under Lockdown
52,main,4/30/2020,Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks
53,main,4/30/2020,Trump’s Inspector General Has Expressed Dim Views of Congressional Oversight
54,main,4/30/2020,"In Kabul’s Heart, Soviet Towers Harbor Decades of Tales"
55,main,4/30/2020,Coronavirus Finds Fuel in a World of Migrants
56,main,4/30/2020,Stigma Hampers Iraqi Efforts to Fight the Coronavirus
57,main,4/30/2020,"To Save Afghan Peace Deal, U.S. May Scale Back C.I.A. Presence"
58,main,4/30/2020,U.S. Military Cutting Medevac Flights for Troops in West Africa
59,main,4/30/2020,Dozens Test Positive for Coronavirus at Afghan President’s Palace
60,main,4/30/2020,What Will Our New Normal Feel Like? Hints Are Beginning to Emerge
61,main,4/30/2020,Executive Order Halting New Green Cards Includes Exceptions
62,main,4/30/2020,Taliban Ramp Up Attacks Even as Coronavirus Spreads in Afghanistan
63,main,4/30/2020,Coronavirus Diplomacy: How China’s Red Cross Serves the Communist Party
64,main,4/30/2020,"Amid a Rising Death Toll, Trump Leaves the Grieving to Others"
65,main,5/31/2020,"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War"
66,main,5/31/2020,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards
67,main,5/31/2020,"Votes, Deployment and Now Parenthood in the Middle of a Pandemic"
68,main,5/31/2020,In Harm’s Way: Fighting the Summer Surge
69,main,5/31/2020,"An Incursion Into Venezuela, Straight Out of Hollywood"
70,main,5/31/2020,"U.S. Military Killed 132 Civilians in Wars Last Year, Pentagon Says"
71,main,5/31/2020,"For Flynn, Dropped Charges Are the Latest in a Life Full of Reversals"
72,main,5/31/2020,Joe Biden’s Time in Sarah Palin’s Shadow
73,main,5/31/2020,This Afghan General Fought the Taliban for Years. Now He Has Joined Them.
74,main,5/31/2020,"From Maternity Ward to Cemetery, a Morning of Murder in Afghanistan"
75,main,5/31/2020,"Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate"
76,main,5/31/2020,"In Italy, Some Fear the Virus Is a Get-Out-of-Jail Card for Mafiosi"
77,main,5/31/2020,"Gil Loescher, 75, Refugees Expert Who Survived Iraq Bombing, Dies"
78,main,5/31/2020,U.S. Urges Afghanistan to Stay the Course With Peace Deal as Violence Resurges
79,main,5/31/2020,Afghan Power-Sharing Deal Would Promote General Accused of Rape
80,main,5/31/2020,Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides
81,main,5/31/2020,F.B.I. Finds Links Between Pensacola Gunman and Al Qaeda
82,main,5/31/2020,Clinic Bombed as Afghan Forces Fend Off Taliban Attack on Kunduz
83,main,5/31/2020,"Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits"
84,main,5/31/2020,"Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits"
85,main,5/31/2020,Raids Reveal Massive Fentanyl Production in Myanmar
86,main,5/31/2020,Trump’s Dilemma: Reject DeVos Debt Forgiveness Rollback or Anger Veterans
87,main,5/31/2020,"A Campaign Milestone: ‘I Was Drugged and Raped,’ Heard in a Candidate’s Ad"
88,main,5/31/2020,"As Saudi Official Hid Abroad, His Family Became a Target at Home"
89,main,5/31/2020,Trump Takes Aim at a Watergate Reform: The Independent Inspector General
90,main,5/31/2020,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr
91,main,5/31/2020,"Trump Tweets and Golfs, but Makes No Mention of Virus’s Toll"
92,main,5/31/2020,"African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top"
93,main,5/31/2020,Americans Ponder Losses Past and Present on a Subdued Memorial Day
