doc_id,date,main,print
1,7/17/2020,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says","$174 Million Drone Program for Afghans Is Riddled With Problems, Pentagon Says"
2,8/30/2020,‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats,Psychedelic Therapy In the Jungle Soothes The Pain for Veterans
3,6/2/2021,"‘Come On In, Boys’: A Wave of the Hand Sets Off Spain-Morocco Migrant Fight",Morocco Sends Spanish Outpost a Migrant Influx
4,12/20/2020,"‘Covid Can’t Compete.’ In a Place Mired in War, the Virus Is an Afterthought.",‘It’s a Lie’: Denial and Skepticism Permeate a Nation Embroiled in War
5,9/11/2021,‘Everything Changed Overnight’: Afghan Reporters Face an Intolerant Regime,‘Everything Changed’: Media Face Crackdown
6,9/1/2021,"‘Finally, I Am Safe’: U.S. Air Base Becomes Temporary Refuge for Afghans","‘Finally, I Am Safe’: Thousands Find Temporary Refuge at U.S. Air Base"
7,6/3/2021,‘Find Him and Kill Him’: An Afghan Pilot’s Desperate Escape,‘Find Him and Kill Him’: A Pilot’s Desperate Escape From Kabul
8,9/9/2021,‘Football Is Like Food’: Afghan Female Soccer Players Find a Home in Italy,Soccer Players Under Threat Escape to Italy
9,3/17/2020,"‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans",Plan Would Inject $1 Trillion Into Economy  
10,5/1/2020,"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War","As Pandemic Takes Toll on Afghan Doctors, Hospitals Still Tend to War Wounded"
11,1/12/2021,"‘I Could Just Vanish’: In Kabul, Pocket Notes to Prevent Anonymous Death","In Kabul, Slips of Paper to Avert Nameless Death"
12,11/23/2020,‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game,"Surrounded by Violence, Yet Captivated by a Virtual Battlefield"
13,8/27/2020,‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan,Floods Compound Afghanistan’s Misery of Pandemic and Unrelenting War
14,2/27/2021,‘I Wake Up and Scream’: Secret Taliban Prisons Terrorize Thousands,"In Secret Taliban Prisons, Each Day Brings Terror"
15,7/22/2021,‘I’ll Never Forget You’: Veterans Push to Get Afghan Partners in War to the U.S.,Veterans Feel Urgency to Aid Afghan Allies
16,10/19/2020,"‘If There Were No Hashish Here, You Wouldn’t See a Single House’",Crisis Erases Farmers’ Income From a Reliable Crop: Hashish
17,7/7/2021,‘In the End We Felt Betrayed’: Vietnamese Veterans See Echoes in Afghanistan,Vietnamese Veterans See Echoes of 1975 in Afghanistan
18,12/9/2020,‘Is Austin on Your List?’: Biden’s Pentagon Pick Rose Despite Barriers to Diversity,How Biden’s Defense Nominee Overcame Barriers to Diversity
19,11/7/2020,‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai,Israeli C.E.O.s and Emirati Investors Click in the Desert
20,9/14/2021,‘Lost Between Borders’: Afghan Women on the Lives They Left Behind,"Women on Loving, Fearing, and Leaving Afghanistan"
21,8/22/2021,‘No One Quite Knows What to Say’: A War Easily Ignored Ends With Few Answers,‘No One Quite Knows What to Say’: 20-Year War Ends With Few Answers
22,4/14/2021,‘No Victory Dance’: Veterans of Afghan War Feel Torn Over Pullout,Veterans of Afghan War Feel Torn Over Pullout
23,8/20/2021,‘Our Goal Is to Keep the Regime on Its Toes’: Inside Belarus’s Underground Opposition,‘We Risk Everything’: Whisper Opposition Takes Hold in Belarus
