article_id,date,headline_print
1,2/29/2020,Table Is Set For a Pullout And Talks
2,2/29/2020,U.S. and Taliban Sign Withdrawal Accord
3,3/1/2020,A Mission Shift for Afghanistan
4,3/2/2020,"At the Center of the Taliban Deal, a U.S. Envoy Who Made It Personal"
5,3/2/2020,U.S. Troop Reduction Begins in Afghanistan
6,3/3/2020,"Pursuing Exit, Trump Talks  To a Leader Of the Taliban"
7,3/4/2020,Attacks on Afghans by Taliban Rise After Signing of Peace Deal
8,3/5/2020,"After Afghanistan Tours,  U.S. Veterans Appraise  Peace Deal With Taliban"
9,3/5/2020,"Javier Pérez de Cuéllar, U.N. Chief  Behind Vital Peace Pacts, Dies at 100"
10,3/5/2020,"U.S.-Taliban Deal May Give Pakistan a Weak, Pliable Neighbor"
11,3/8/2020,U.S. Lawmakers Balk Over Secret Benchmarks Within Taliban Peace Accord
12,3/9/2020,"Ghani Takes the Oath of Afghan President. His Chief Rival Does, Too."
13,3/10/2020,"In a Reversal, Afghanistan’s Leader Agrees to a Phased Release of Taliban Fighters"
14,3/22/2020,U.S. Troops’ Afghan Exit Ties Embassy’s Fate to a Fragile Peace Process
15,3/24/2020,U.S. Aid Cut May Shove Afghanistan Closer to the Brink
16,3/26/2020,U.S. ‘Disaster Diplomacy’ Yields Few Results
17,4/7/2020,"Taliban Pulls Out of Talks as Prisoner Swap Collapses, Imperiling U.S. Deal"
18,4/17/2020,"To Save Peace Deal With Taliban, U.S. May Reduce C.I.A. Presence in Afghanistan"
19,5/11/2020,"Prominent Retired General Joins Taliban, Stunning the Afghan Government"
20,5/16/2020,Afghans’ Power-Sharing Accord  Honors Official Accused in Rape
21,5/17/2020,"Afghan Rivals Divide Power, Ending Fight Over Election"
22,5/24/2020,"For the First Time Since 2018, the Taliban Agree to a Cease-Fire With Afghan Forces"
23,5/26/2020,"After 18 Years of War, Taliban Sense Victory Over a Superpower"
24,5/26/2020,Trump Wants Troops in Afghanistan Home by Election Day
25,6/4/2020,Man Who Shot U.S. Advisers Is Set Free In Afghanistan
26,6/6/2020,Germany Feels Left Out As Trump Shifts Alliance
27,6/13/2020,President Exaggerates His Own Record On Funding Pentagon and Ending Wars
28,6/14/2020,Former Defense Secretary Says ‘Time Has Come’ to Rename Bases
29,6/27/2020,"Despite Peace Deal, Violence in Afghanistan Surges"
30,6/28/2020,Cash Discovery Tipped Off Spies  About Bounties
