date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,
4/14/2021,NATO foreign and defense ministers agreed on Wednesday to begin withdrawing forces from Afghanistan on May 1 following the announcement from President Biden that U.S. forces will leave by Sept. 11.,NATO foreign and defense ministers agreed on Wednesday to begin withdrawing forces from Afghanistan on May 1 following the announcement from President Biden that U.S. forces will leave by Sept. 11.,NATO foreign and defense ministers agreed on Wednesday to begin withdrawing forces from Afghanistan on May 1 following the announcement from President Biden that U.S. forces will leave by Sept. 11.,U.S.,Politics,,By The Associated Press,NATO to Begin Afghanistan Withdrawal May 1,NA,NA,Video,https://www.nytimes.com/video/us/politics/100000007710289/us-afghanistan-nato-may.html,,
4/15/2021,The American secretary of state said the trip was intended to demonstrate the United States’ commitment to Afghanistan.,"Secretary of State Antony J. Blinken traveled to Kabul, Afghanistan, on Thursday, less than a day after President Biden formally announced plans to withdraw all remaining troops from the country by Sept. 11. The trip was intended to signal continued cooperation amid the major shift in policy.",The American secretary of state said the trip was intended to demonstrate the United States’ commitment to Afghanistan.,World,Asia Pacific,Foreign,By Megan Specia,"Blinken Visits Kabul, Hours After Biden Speech on Afghan Withdrawal",NA,NA,News,https://www.nytimes.com/2021/04/15/world/asia/blinken-kabul-visit-afghanistan.html,,
4/15/2021,The president said the main objective of ensuring that Afghanistan would not be a launching pad for terrorism had been achieved and that it was time for American troops to come home.,"WASHINGTON — President Biden declared on Wednesday that “it is time to end the forever war” in Afghanistan, saying that the United States had long ago accomplished its main mission of denying terrorists a haven in the country and that leaving American forces there was no longer worth the cost in blood and money.",The president said the main objective of ensuring that Afghanistan would not be a launching pad for terrorism had been achieved and that it was time for American troops to come home.,U.S.,Politics,Washington,By David E. Sanger and Michael D. Shear,"Biden, Setting Afghanistan Withdrawal, Says ‘It Is Time to End the Forever War’",‘It Is Time to End the Forever War’,NA,News,https://www.nytimes.com/2021/04/14/us/politics/biden-afghanistan-troop-withdrawal.html,,
10/12/2020,"The comments from Gen. Mark A. Milley, the chairman of the Joint Chiefs of Staff, came after the White House tripped over itself on the issue of Afghanistan troop levels in recent days.",WASHINGTON — The nation’s top general declined on Sunday to endorse either of the sudden announcements on Afghan troop withdrawals that came out of the White House last week.,"The comments from Gen. Mark A. Milley, the chairman of the Joint Chiefs of Staff, came after the White House tripped over itself on the issue of Afghanistan troop levels in recent days.",World,Asia Pacific,Washington,By Helene Cooper,Top General Declines to Endorse Trump’s Afghan Withdrawal Timeline,General Tempers White House Chatter on Paring Troops in Afghanistan,NA,News,https://www.nytimes.com/2020/10/12/world/asia/trump-milley-afghanistan.html,,
7/7/2020,Allegations of bounties paid for the deaths of U.S. soldiers are serious. But the White House ought to stay the course toward a peace deal.,"There’s a lot still missing from the reports that Russia paid for attacks on American and other coalition forces in Afghanistan. That’s why it’s critical that emotions and politics be kept at bay until the facts are in. Some important context might come from a hearing on the matter by the House Foreign Affairs Committee on Thursday, even though Mike Pompeo, the secretary of state, has declined to attend.",Allegations of bounties paid for the deaths of U.S. soldiers are serious. But the White House ought to stay the course toward a peace deal.,Opinion,NA,Editorial,By The Editorial Board,Don’t Let Russian Meddling Derail Afghanistan Withdrawal Plans,Don’t Let Russia Set U.S. Afghan Policy,NA,Editorial,https://www.nytimes.com/2020/07/07/opinion/russia-bounty-afghanistan-trump.html,,
1/29/2021,The Biden administration is reviewing a deal between its predecessor and the Taliban for a May 1 deadline to pull all American troops out of the country.,"KABUL, Afghanistan — Both the Afghan government and its Taliban foes appear to be gearing up for a violent spring amid uncertainty over whether the Biden administration will meet a May 1 deadline for the withdrawal of all American troops from Afghanistan.",The Biden administration is reviewing a deal between its predecessor and the Taliban for a May 1 deadline to pull all American troops out of the country.,World,Asia Pacific,Foreign,By Adam Nossiter and Thomas Gibbons-Neff,Violence May Delay U.S. Troop Withdrawal From Afghanistan,Wave of Violence Across Afghanistan May Delay U.S. Troop Withdrawal,NA,News,https://www.nytimes.com/2021/01/29/world/asia/afghanistan-withdrawal-ghani-biden.html,,
3/18/2020,"Thousands of American and NATO troops are scheduled to leave in the next few months, but quarantine procedures are complicating those efforts.","WASHINGTON — The U.S. commander in Afghanistan is halting American and allied troops from entering Afghanistan and, in turn, preventing some troops from leaving, for the next month, American and European officials said. The planning reflects mounting concerns as the coronavirus has spread in the country in recent days.","Thousands of American and NATO troops are scheduled to leave in the next few months, but quarantine procedures are complicating those efforts.",World,Asia Pacific,Washington,By Thomas Gibbons-Neff and Julian E. Barnes,Coronavirus Disrupts Troop Withdrawal in Afghanistan,NA,NA,News,https://www.nytimes.com/2020/03/18/world/asia/coronavirus-withdrawal-afghanistan.html,,
1/30/2021,The Pentagon raised doubts on Thursday that the U.S. military would withdraw from Afghanistan by May 1 — the deadline set in a February 2020 agreement with the Taliban — after accusing the Taliban of failing to uphold its commitments under the deal.,The Pentagon raised doubts on Thursday that the U.S. military would withdraw from Afghanistan by May 1 — the deadline set in a February 2020 agreement with the Taliban — after accusing the Taliban of failing to uphold its commitments under the deal.,The Pentagon raised doubts on Thursday that the U.S. military would withdraw from Afghanistan by May 1 — the deadline set in a February 2020 agreement with the Taliban — after accusing the Taliban of failing to uphold its commitments under the dea...,U.S.,Politics,,By The Associated Press,Violence in Afghanistan May Delay U.S. Troop Withdrawal,NA,NA,Video,https://www.nytimes.com/video/us/politics/100000007578820/pentagon-troops-taliban-afghanistan.html,,
4/13/2021,"The decision will keep more than 3,000 American troops in Afghanistan beyond the May 1 deadline that was announced under the Trump administration.","President Biden has decided to withdraw all American troops from Afghanistan by Sept. 11, 20 years after the terrorist attacks on the World Trade Center and the Pentagon launched the country into its longest war, United States officials said Tuesday.","The decision will keep more than 3,000 American troops in Afghanistan beyond the May 1 deadline that was announced under the Trump administration.",U.S.,Politics,Washington,"By Helene Cooper, Julian E. Barnes and Thomas Gibbons-Neff",Biden to announce full withdrawal of U.S. troops in Afghanistan by Sept. 11.,NA,NA,News,https://www.nytimes.com/2021/04/13/us/politics/afghanistan-troops-withdrawal.html,,
4/25/2021,"The top American commander, Gen. Austin S. Miller, says he is often asked whether the Afghan forces are ready to fight the Taliban alone. His answer? ‘They must be ready.’","KABUL, Afghanistan — The U.S. military has begun its complete withdrawal from Afghanistan, the top American commander there said Sunday, marking what amounts to the beginning of the end of the United States’ nearly 20-year-old war in the country.","The top American commander, Gen. Austin S. Miller, says he is often asked whether the Afghan forces are ready to fight the Taliban alone. His answer? ‘They must be ready.’",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,U.S. Military Begins Final Withdrawal From Afghanistan,U.S. Military  Begins Task Of Leaving  Afghanistan,NA,News,https://www.nytimes.com/2021/04/25/world/asia/usa-military-withdrawal-afghanistan.html,,
2/3/2021,A study group appointed by Congress finds that removing international forces by the May 1 date set in the 2020 U.S.-Taliban peace agreement could lead to a civil war in Afghanistan.,"WASHINGTON — The Biden administration should slow the withdrawal of troops in Afghanistan, abandon the May 1 exit deadline and instead reduce American forces further only as security conditions improve, a congressionally appointed panel recommended Wednesday.",A study group appointed by Congress finds that removing international forces by the May 1 date set in the 2020 U.S.-Taliban peace agreement could lead to a civil war in Afghanistan.,U.S.,Politics,Washington,By Julian E. Barnes and Thomas Gibbons-Neff,"U.S. Should Slow Withdrawal From Afghanistan, Bipartisan Panel Urges",U.S. Is Urged To Slow Pullout In Afghanistan,NA,News,https://www.nytimes.com/2021/02/03/us/politics/afghanistan-biden-trump-troops-withdrawal.html,,
8/4/2020,The president’s assertion undercuts diplomats who have said withdrawals will depend on the Taliban’s commitment to its peace deal with the United States.,"President Trump said that there would be fewer than 5,000 American troops in Afghanistan by Election Day in November, signaling that the United States would continue to withdraw troops from the country despite limited progress toward the start of peace negotiations between the Afghan government and the Taliban.",The president’s assertion undercuts diplomats who have said withdrawals will depend on the Taliban’s commitment to its peace deal with the United States.,World,Asia Pacific,Washington,By Thomas Gibbons-Neff,"More U.S. Troops Will Leave Afghanistan Before the Election, Trump Says",U.S. Withdrawal From Afghanistan Remains on Track,NA,News,https://www.nytimes.com/2020/08/04/world/asia/us-troops-afghanistan.html,,
4/14/2021,"President Biden, frustrated in his efforts to end America’s “Forever War” a decade ago,  announced on Wednesday a Sept. 11 deadline for withdrawal of U.S. troops from Afghanistan after 20 years, a move that immediately triggered similar action among the country’s NATO allies.","President Biden, frustrated in his efforts to end America’s “Forever War” a decade ago,  announced on Wednesday a Sept. 11 deadline for withdrawal of U.S. troops from Afghanistan after 20 years, a move that immediately triggered similar action among the country’s NATO allies.",,U.S.,NA,Washington,"By David E. Sanger, Steven Erlanger and Glenn Thrush",Biden announces a withdrawal from Afghanistan after two decades of frustration in the ‘Forever War.’,NA,NA,News,https://www.nytimes.com/2021/04/14/us/biden-announces-a-withdrawal-from-afghanistan-after-two-decades-of-frustration-in-the-forever-war.html,,
3/2/2020,Renewed attacks on Afghan forces over the weekend underscored the difficulties of enforcing a peace agreement — and understanding what was happening on the ground.,"WASHINGTON — Defense Secretary Mark T. Esper said on Monday that the United States had begun withdrawing troops from Afghanistan, the first steps in what could be a complete exit from the country within the next 14 months.",Renewed attacks on Afghan forces over the weekend underscored the difficulties of enforcing a peace agreement — and understanding what was happening on the ground.,World,Asia Pacific,Washington,By Thomas Gibbons-Neff,U.S. Announces Troop Withdrawal in Afghanistan as Respite From Violence Ends,U.S. Troop Reduction Begins in Afghanistan,NA,News,https://www.nytimes.com/2020/03/02/world/asia/us-troop-withdrawal-afghanistan.html,,
