doc_id,date,text
1,7/17/2020,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says"
2,8/30/2020,‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats
3,6/2/2021,"‘Come On In, Boys’: A Wave of the Hand Sets Off Spain-Morocco Migrant Fight"
4,12/20/2020,"‘Covid Can’t Compete.’ In a Place Mired in War, the Virus Is an Afterthought."
5,9/11/2021,‘Everything Changed Overnight’: Afghan Reporters Face an Intolerant Regime
6,9/1/2021,"‘Finally, I Am Safe’: U.S. Air Base Becomes Temporary Refuge for Afghans"
7,6/3/2021,‘Find Him and Kill Him’: An Afghan Pilot’s Desperate Escape
8,9/9/2021,‘Football Is Like Food’: Afghan Female Soccer Players Find a Home in Italy
9,3/17/2020,"‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans"
10,5/1/2020,"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War"
11,1/12/2021,"‘I Could Just Vanish’: In Kabul, Pocket Notes to Prevent Anonymous Death"
12,11/23/2020,‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game
13,8/27/2020,‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan
14,2/27/2021,‘I Wake Up and Scream’: Secret Taliban Prisons Terrorize Thousands
15,7/22/2021,‘I’ll Never Forget You’: Veterans Push to Get Afghan Partners in War to the U.S.
16,10/19/2020,"‘If There Were No Hashish Here, You Wouldn’t See a Single House’"
17,7/7/2021,‘In the End We Felt Betrayed’: Vietnamese Veterans See Echoes in Afghanistan
18,12/9/2020,‘Is Austin on Your List?’: Biden’s Pentagon Pick Rose Despite Barriers to Diversity
19,11/7/2020,‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai
20,9/14/2021,‘Lost Between Borders’: Afghan Women on the Lives They Left Behind
21,8/22/2021,‘No One Quite Knows What to Say’: A War Easily Ignored Ends With Few Answers
22,4/14/2021,‘No Victory Dance’: Veterans of Afghan War Feel Torn Over Pullout
23,8/20/2021,‘Our Goal Is to Keep the Regime on Its Toes’: Inside Belarus’s Underground Opposition
24,12/16/2020,‘Sticky Bombs’ Sow Terror and Chaos in a City on Edge
25,7/5/2020,‘Strategic Empathy’: How Biden’s Informal Diplomacy Shaped Foreign Relations
26,1/17/2021,"‘There Is No Safe Area’: In Kabul, Fear Has Taken Over"
27,7/18/2021,‘They Just Left Us’: Greece Is Accused of Setting Migrants Adrift at Sea
28,9/13/2021,‘We Did Not Inherit a Plan’: Blinken Is Grilled in Congress Over Afghanistan Exit
29,8/30/2021,‘We Have to Try’: Lawmakers Rush to Assist in Afghanistan Evacuations.
30,8/17/2021,"‘We Haven’t Slept, We Haven’t Eaten’: U.S. Afghans Watch the Chaos With Horror"
31,9/10/2021,‘We Truly Have Lost Everything’: A Journey Out of Kabul the Day It Fell
32,8/29/2021,‘What Will Happen to Me?’ An Uncertain Future Awaits Afghans Who Fled
33,5/9/2021,‘Why Do We Deserve to Die?’ Kabul’s Hazaras Bury Their Daughters.
34,4/4/2020,2 Killed in Knife Attack in French Town Under Lockdown
35,4/27/2021,2 Spanish Journalists and an Irish Ranger Killed in Burkina Faso Ambush
36,8/25/2021,2 U.S. Representatives Try to Explain Unauthorized Visit to Kabul
37,9/11/2021,"20 Years On, the War on Terror Grinds Along, With No End in Sight"
38,8/3/2020,29 Dead After ISIS Attack on Afghan Prison
39,2/22/2021,4 Aid Workers Are Shot Dead in Pakistan
40,2/29/2020,4 Takeaways From the U.S. Deal With the Taliban
41,9/10/2021,5 Takeaways From Canada’s Official Election Debates
42,8/21/2021,"50 Years After Vietnam, Thousands Flee Another Lost American War"
43,8/29/2021,98 Countries Pledge to Accept Afghans After U.S. Military Departs
