doc_id,nrc_negative,nrc_positive,lsd2015_negative,lsd2015_positive,geninq_positive,geninq_negative
1,0,0,0,0,0,0
10,0,2,1,0,2,1
100,1,0,1,0,0,1
101,2,1,1,0,0,2
102,3,0,2,0,1,0
103,0,1,0,0,1,0
104,2,0,3,0,1,2
105,1,0,1,1,2,0
106,0,1,0,0,0,0
107,1,2,1,0,1,3
108,1,1,2,1,0,1
109,1,0,1,0,0,1
11,1,2,1,2,2,2
110,0,0,0,0,1,0
111,0,1,1,1,1,0
112,1,1,1,0,2,1
113,2,0,2,0,0,1
114,1,0,2,0,0,1
115,0,2,0,3,0,1
116,1,0,1,0,0,1
117,1,1,1,1,1,1
118,1,0,0,0,0,2
119,0,0,0,1,1,0
12,0,2,0,0,0,1
120,2,0,2,0,0,1
121,0,0,0,0,0,0
122,1,0,1,0,0,1
123,2,0,3,0,1,2
124,0,0,1,0,0,1
125,0,2,1,1,1,1
126,0,0,1,0,0,0
127,0,0,0,1,1,1
128,1,1,1,1,1,1
129,1,0,1,0,0,1
13,1,1,1,1,0,0
130,1,0,0,1,0,1
131,0,1,0,0,0,0
132,1,0,1,0,0,2
133,1,2,2,1,2,2
134,1,0,1,0,0,1
135,1,0,2,0,0,0
136,0,1,2,0,0,1
137,1,1,2,1,1,0
138,1,1,0,1,1,1
139,0,0,0,0,0,0
14,2,1,1,1,1,2
140,0,0,0,0,1,0
141,0,0,0,0,0,0
142,0,0,1,0,0,1
143,1,0,0,0,0,1
144,1,1,1,0,1,1
145,0,0,0,0,0,0
146,0,0,0,0,0,1
147,0,0,1,0,1,1
148,0,0,0,0,0,0
149,1,2,2,1,1,2
15,1,1,1,1,1,2
150,0,0,0,0,1,1
151,2,0,3,0,0,2
152,0,0,0,0,1,0
153,1,0,0,0,0,1
154,1,1,0,0,1,1
155,0,1,0,2,1,0
156,2,0,1,0,0,2
157,0,0,1,0,0,1
158,1,0,1,1,0,1
159,1,2,1,0,1,1
16,1,1,1,0,0,1
160,0,2,0,2,1,0
161,0,0,0,0,2,1
162,1,2,2,1,1,2
163,1,1,2,2,1,2
164,0,0,2,0,0,1
165,1,0,1,1,0,1
166,0,0,1,0,1,1
167,1,0,1,0,1,1
168,1,1,0,0,0,1
169,0,0,0,0,0,0
17,1,1,2,0,1,2
170,0,1,1,0,0,0
171,0,0,1,1,0,1
172,0,0,0,0,0,0
173,2,0,2,0,0,2
174,0,0,0,0,0,0
175,0,0,0,0,0,1
176,0,2,0,0,0,0
177,1,0,0,0,1,0
178,0,0,1,0,0,1
179,2,1,2,0,0,0
18,0,4,0,1,3,1
180,0,0,0,0,0,0
181,0,1,0,1,2,0
182,0,1,1,1,1,0
183,0,0,1,0,1,0
184,0,0,0,0,1,0
185,0,0,1,0,0,0
186,0,2,0,2,2,0
187,0,2,0,1,1,1
188,2,0,1,0,0,2
189,0,0,0,0,1,0
19,1,1,0,1,1,0
190,2,0,2,1,2,2
191,1,0,3,0,0,3
192,1,0,1,1,1,1
193,0,3,0,4,3,0
194,1,0,1,1,1,1
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,1,0,0,0,0,1
198,2,0,2,0,0,2
199,0,0,0,0,1,0
2,0,1,0,1,1,0
20,2,1,2,2,1,0
200,1,0,0,0,0,0
201,1,0,1,0,0,1
202,0,0,0,0,0,0
203,3,0,2,0,1,3
204,1,0,1,0,0,0
205,1,1,1,1,1,1
206,1,0,1,0,0,1
207,0,0,0,0,0,0
208,1,0,2,0,1,1
209,1,1,3,2,1,3
21,1,0,2,0,0,2
210,1,0,1,0,0,1
211,2,0,1,0,0,1
212,1,0,1,1,0,2
213,0,2,0,0,0,0
214,2,1,1,0,0,1
215,1,0,0,0,0,1
216,1,0,2,0,0,3
217,1,0,1,1,0,0
218,0,0,0,0,0,0
219,1,0,1,0,0,0
22,0,1,0,1,1,0
220,1,2,1,1,3,1
221,0,0,1,0,0,0
222,1,2,1,1,1,1
223,0,0,1,0,0,0
224,0,0,0,0,0,0
225,0,2,0,2,1,0
226,0,0,0,1,1,0
227,0,0,1,0,0,0
228,0,1,2,0,0,0
229,1,0,2,0,0,1
23,1,2,1,2,1,1
230,0,0,0,1,2,0
231,0,0,2,0,0,1
232,0,0,0,1,0,1
233,1,0,0,1,0,0
234,1,2,1,2,1,1
235,0,1,0,1,1,0
236,0,0,0,0,0,0
237,0,0,0,0,0,1
238,1,0,3,0,0,1
239,1,0,3,0,0,1
24,0,0,0,0,1,0
240,2,0,2,0,0,2
241,2,0,2,0,0,2
242,1,0,1,1,0,1
243,2,0,2,0,0,2
244,2,1,0,0,0,0
245,0,1,0,1,1,0
246,1,0,0,0,0,1
247,0,1,0,0,0,1
248,0,1,1,1,1,0
249,0,1,1,1,0,1
25,1,0,0,1,1,1
250,0,0,0,0,0,0
251,0,0,0,1,0,1
252,2,0,2,0,0,2
253,0,0,0,0,0,0
254,1,0,0,0,1,0
255,0,0,2,0,1,1
256,0,1,0,0,1,0
257,1,1,1,1,1,1
258,0,0,0,0,0,1
259,1,1,1,1,1,1
26,0,0,0,1,1,0
260,0,0,0,1,2,1
261,0,1,1,1,2,0
262,0,0,2,0,0,2
263,0,1,2,0,0,0
264,0,2,0,1,1,0
265,1,1,1,1,1,0
266,2,2,2,1,0,2
267,1,0,2,0,0,1
268,0,0,0,1,2,1
269,1,0,2,0,0,1
27,0,1,2,0,0,0
270,0,1,0,0,0,0
271,1,1,1,1,1,1
272,1,1,0,1,1,1
273,3,0,2,0,0,2
274,1,0,1,0,0,0
275,0,2,0,1,1,0
276,0,0,0,1,1,2
277,0,0,0,0,0,0
278,2,0,2,1,0,2
279,3,0,2,0,1,1
28,0,1,0,0,1,0
280,0,0,1,1,0,0
281,2,0,0,0,0,0
282,0,1,0,0,0,0
283,1,0,1,0,0,1
284,0,1,0,1,0,0
285,0,1,1,0,1,0
