headline,dictionary,sentiment,n
print,bing,positive,139
print,bing,neutral,56
print,bing,negative,388
print,bing,NA,353
print,nrc,positive,321
print,nrc,neutral,59
print,nrc,negative,405
print,nrc,NA,151
print,afinn,positive,117
print,afinn,neutral,27
print,afinn,negative,433
print,afinn,NA,359
main,bing,positive,149
main,bing,neutral,66
main,bing,negative,372
main,bing,NA,349
main,nrc,positive,298
main,nrc,neutral,66
main,nrc,negative,422
main,nrc,NA,150
main,afinn,positive,103
main,afinn,neutral,20
main,afinn,negative,445
main,afinn,NA,368
