"","main_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"1","$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says",NA,"negative",NA,"negative",NA
"2","‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats","positive","neutral","positive","negative",NA
"3","‘Come On In, Boys’: A Wave of the Hand Sets Off Spain-Morocco Migrant Fight",NA,"negative","negative","negative",NA
"4","‘Covid Can’t Compete.’ In a Place Mired in War, the Virus Is an Afterthought.","negative","negative","negative","negative",NA
"5","‘Everything Changed Overnight’: Afghan Reporters Face an Intolerant Regime",NA,"negative",NA,"negative",NA
"6","‘Finally, I Am Safe’: U.S. Air Base Becomes Temporary Refuge for Afghans","positive","positive","positive","negative",NA
"7","‘Find Him and Kill Him’: An Afghan Pilot’s Desperate Escape","negative","negative","negative","negative",NA
"8","‘Football Is Like Food’: Afghan Female Soccer Players Find a Home in Italy",NA,"positive",NA,"negative",NA
"9","‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans","positive","positive",NA,"negative",NA
"10","‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",NA,"negative","negative","negative",NA
"11","‘I Could Just Vanish’: In Kabul, Pocket Notes to Prevent Anonymous Death","negative","negative","negative","negative",NA
"12","‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game",NA,"positive","negative","negative",NA
"13","‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan","negative","negative","negative","negative",NA
"14","‘I Wake Up and Scream’: Secret Taliban Prisons Terrorize Thousands","negative","negative","negative","negative",NA
"15","‘I’ll Never Forget You’: Veterans Push to Get Afghan Partners in War to the U.S.",NA,"negative","negative","negative",NA
"16","‘If There Were No Hashish Here, You Wouldn’t See a Single House’",NA,"negative",NA,"negative",NA
"17","‘In the End We Felt Betrayed’: Vietnamese Veterans See Echoes in Afghanistan",NA,NA,"negative","negative",NA
"18","‘Is Austin on Your List?’: Biden’s Pentagon Pick Rose Despite Barriers to Diversity",NA,"positive",NA,"negative",NA
"19","‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai","neutral","positive","positive","negative",NA
"20","‘Lost Between Borders’: Afghan Women on the Lives They Left Behind","negative","negative","negative","negative",NA
"21","‘No One Quite Knows What to Say’: A War Easily Ignored Ends With Few Answers",NA,"negative","negative","negative",NA
"22","‘No Victory Dance’: Veterans of Afghan War Feel Torn Over Pullout","positive","positive","negative","negative",NA
"23","‘Our Goal Is to Keep the Regime on Its Toes’: Inside Belarus’s Underground Opposition","negative","negative",NA,"negative",NA
"24","‘Sticky Bombs’ Sow Terror and Chaos in a City on Edge","negative","negative","negative","negative",NA
"25","‘Strategic Empathy’: How Biden’s Informal Diplomacy Shaped Foreign Relations","positive","positive",NA,"negative",NA
"26","‘There Is No Safe Area’: In Kabul, Fear Has Taken Over","neutral","neutral","negative","negative",NA
"27","‘They Just Left Us’: Greece Is Accused of Setting Migrants Adrift at Sea",NA,"negative","negative","negative",NA
"28","‘We Did Not Inherit a Plan’: Blinken Is Grilled in Congress Over Afghanistan Exit",NA,"positive",NA,"negative",NA
"29","‘We Have to Try’: Lawmakers Rush to Assist in Afghanistan Evacuations.",NA,"positive",NA,"negative",NA
"30","‘We Haven’t Slept, We Haven’t Eaten’: U.S. Afghans Watch the Chaos With Horror","negative","negative","negative","negative",NA
"31","‘We Truly Have Lost Everything’: A Journey Out of Kabul the Day It Fell","negative","negative","negative","negative",NA
"32","‘What Will Happen to Me?’ An Uncertain Future Awaits Afghans Who Fled","negative","negative","negative","negative",NA
"33","‘Why Do We Deserve to Die?’ Kabul’s Hazaras Bury Their Daughters.","negative","negative","negative","negative",NA
"34","2 Killed in Knife Attack in French Town Under Lockdown","negative","negative","negative","negative",NA
"35","2 Spanish Journalists and an Irish Ranger Killed in Burkina Faso Ambush","negative","negative","negative","negative",NA
"36","2 U.S. Representatives Try to Explain Unauthorized Visit to Kabul",NA,"positive",NA,"negative",NA
"37","20 Years On, the War on Terror Grinds Along, With No End in Sight","negative","negative","negative","negative",NA
"38","29 Dead After ISIS Attack on Afghan Prison","negative","negative","negative","negative",NA
"39","4 Aid Workers Are Shot Dead in Pakistan","negative","negative","negative","negative",NA
"40","4 Takeaways From the U.S. Deal With the Taliban",NA,"positive",NA,"negative",NA
"41","5 Takeaways From Canada’s Official Election Debates",NA,"positive",NA,"negative",NA
"42","50 Years After Vietnam, Thousands Flee Another Lost American War","negative","negative","negative","negative",NA
"43","98 Countries Pledge to Accept Afghans After U.S. Military Departs",NA,"positive","positive","negative",NA
"44","A 17-year-old Afghan soccer player died falling from a U.S. evacuation plane.","negative","negative","negative","negative",NA
"45","A baby born on an evacuation flight is named Reach, after the aircraft’s call sign.",NA,"positive","positive","negative",NA
"46","A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey","positive","positive","positive","negative",NA
"47","A Black Colonel Takes Command of a Key Marine Corps Brigade",NA,"positive",NA,"negative",NA
"48","A Border Reopening, at Least One Way, and Some Travel Tips",NA,NA,NA,"negative",NA
