doc_id,type,month.ended,text,month,article
1,main,3/31/2020,4 Takeaways From the U.S. Deal With the Taliban,1,10
2,main,3/31/2020,"After 18 Years, Is This Afghan Peace, or Just a Way Out?",1,20
3,main,3/31/2020,Life Inside an Afghan Women’s Prison,1,30
4,main,3/31/2020,Taliban and U.S. Strike Deal to Withdraw American Troops From Afghanistan,1,40
5,main,3/31/2020,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners,1,50
6,main,3/31/2020,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,1,60
7,main,3/31/2020,Why Afghanistan Became an Invisible War,1,70
8,main,3/31/2020,"At Center of Taliban Deal, a U.S. Envoy Who Made It Personal",1,80
9,main,3/31/2020,U.S. Announces Troop Withdrawal in Afghanistan as Respite From Violence Ends,1,90
10,main,3/31/2020,Trump Speaks With a Taliban Leader,1,100
11,main,3/31/2020,"A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey",1,110
12,main,3/31/2020,Taliban Ramp Up Attacks on Afghans After Trump Says ‘No Violence’,1,120
13,main,3/31/2020,"From the Afghan Peace Deal, a Weak and Pliable Neighbor for Pakistan",1,130
14,main,3/31/2020,"I.C.C. Allows Afghanistan War Crimes Inquiry to Proceed, Angering U.S.",1,140
15,main,3/31/2020,Javier Pérez de Cuéllar Dies at 100; U.N. Chief Brokered Peace Pacts,1,150
16,main,3/31/2020,Violence in India Threatens Its Global Ambitions,1,160
17,main,3/31/2020,Gunmen Kill Dozens at Event Attended by Afghan Politicians,1,170
18,main,3/31/2020,Erik Prince Recruits Ex-Spies to Help Infiltrate Liberal Groups,1,180
19,main,3/31/2020,Vigilantes in Greece Say ‘No More’ to Migrants,1,190
20,main,3/31/2020,Vigilantes in Greece Say ‘No More’ to Migrants,1,200
21,main,3/31/2020,A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan,1,210
22,main,3/31/2020,Judge Orders Medical Panel to Evaluate Tortured Guantánamo Prisoner,1,220
23,main,3/31/2020,"Ghani Takes the Oath of Afghan President. His Rival Does, Too.",1,230
24,main,3/31/2020,Afghan President Orders Taliban Prisoner Release,1,240
25,main,3/31/2020,"House Sends Trump Bill to Restrict War Powers on Iran, Setting Up Veto",1,250
26,main,3/31/2020,How the World’s Largest Coronavirus Outbreaks Are Growing,1,260
27,main,3/31/2020,"E.U. to Offer 2,000 Euros to Migrants in Greece to Go Home",1,270
28,main,3/31/2020,White House Pushes to Recover Americans Held Overseas,1,280
29,main,3/31/2020,Lawmakers Delay Promotion of Officer Involved in Deadly Niger Ambush,1,290
30,main,3/31/2020,"Pakistan Builds Border Fence, Limiting Militants and Families Alike",1,300
31,main,3/31/2020,"‘Go Big’ on Coronavirus Stimulus, Trump Says, Pitching Checks for Americans",1,310
32,main,3/31/2020,Duncan Hunter Sentenced to 11 Months in Prison for Stealing Campaign Funds,1,320
33,main,3/31/2020,Americans Held Overseas in Iran and Lebanon Are Freed,1,330
34,main,3/31/2020,"As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad",1,340
35,main,3/31/2020,From Victims to Superwomen: Honoring Female Strength in Afghanistan,1,350
36,main,3/31/2020,"Taliban Kill 24 Afghan Troops, With Inside Help",1,360
37,main,3/31/2020,"As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission",1,370
38,main,3/31/2020,Pompeo Cuts $1 Billion in Afghan Aid as 2 Leaders Reject Push for Unity,1,380
39,main,3/31/2020,"For Afghanistan Already on Brink, U.S. Aid Cut Is a Big Shove",1,390
40,main,3/31/2020,"Ex-F.B.I. Agent Who Vanished on C.I.A. Mission to Iran Is Most Likely Dead, U.S. Concludes",1,400
41,main,3/31/2020,"Fresh From Iran’s Coronavirus Zone, Now Moving Across Afghanistan",1,410
42,main,3/31/2020,Trump’s ‘Disaster Diplomacy’ Has So Far Had Few Results,1,420
43,main,3/31/2020,Taliban Attack Afghanistan Amid Growing Coronavirus Threat,1,430
44,main,3/31/2020,Crisis in the Sahel Becoming France’s Forever War,1,440
45,main,3/31/2020,Crisis in the Sahel Becoming France’s Forever War,1,450
46,main,3/31/2020,Congressman Max Rose Deploys With National Guard for Coronavirus Relief,1,460
47,main,3/31/2020,"Waiving Rent and Making Masks, Afghans Meet Coronavirus With Kindness",1,470
48,main,4/30/2020,Trump Confronts a New Reality Before an Expected Wave of Disease and Death,2,480
49,main,4/30/2020,"From Afar, Congress Moves to Oversee Trump Coronavirus Response",2,490
50,main,4/30/2020,Pakistani Court Overturns Conviction in 2002 Killing of Daniel Pearl,2,500
51,main,4/30/2020,2 Killed in Knife Attack in French Town Under Lockdown,2,510
52,main,4/30/2020,Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks,2,520
53,main,4/30/2020,Trump’s Inspector General Has Expressed Dim Views of Congressional Oversight,2,530
54,main,4/30/2020,"In Kabul’s Heart, Soviet Towers Harbor Decades of Tales",2,540
55,main,4/30/2020,Coronavirus Finds Fuel in a World of Migrants,2,550
56,main,4/30/2020,Stigma Hampers Iraqi Efforts to Fight the Coronavirus,2,560
