"","month","afghan government airport russian lead","years migrants taliban west afghanistan","defense withdrawal dies pakistan afghanistan"
"1","1/30",0.321545201898244,0.379169853127362,0.299284944974394
"2","10/0",0.371426885739857,0.272070177961279,0.356502936298864
"3","11/0",0.366037173510269,0.381526310590298,0.252436515899432
"4","12/0",0.195076697305168,0.4122394241115,0.392683878583332
"5","2/20",0.320536676936536,0.395545647092528,0.283917675970936
"6","3/30",0.35696316092487,0.359006390654418,0.284030448420711
"7","4/30",0.42077941212099,0.246448921633193,0.332771666245817
"8","5/30",0.305951626763531,0.358947923434373,0.335100449802097
"9","6/30",0.380769895399721,0.246477806582211,0.372752298018068
"10","7/30",0.37441811906948,0.346281702542722,0.279300178387798
"11","8/30",0.365670794818712,0.371772660286841,0.262556544894447
"12","9/30",0.316337953811653,0.375093621653967,0.30856842453438
